datetime,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,city
2022-04-20 22:00:00,5,1014.71,0.0,21.59,43.27,11.44,60.18,86.44,39.01,27.5,23.0,4.3,0.0,980.5,7.9,360.0,0,Lahore
2023-12-25 21:00:00,5,6462.1,38.0,183.7,0.0,35.29,355.0,443.5,108.42,8.8,71.0,3.9,0.0,978.5,5.2,236.0,0,Peshawar
2022-04-06 12:00:00,5,2349.85,5.03,95.96,165.94,25.51,85.28,114.18,25.08,36.2,17.0,7.6,0.0,986.4,9.4,288.0,875,Lahore
2023-08-22 12:00:00,5,814.44,1.08,20.56,174.52,14.31,75.92,120.38,11.02,35.2,55.0,24.8,0.0,942.5,11.5,266.0,744,Islamabad
2023-10-29 04:00:00,5,3391.27,30.4,58.26,15.91,11.68,243.17,290.94,14.44,18.8,92.0,17.5,0.0,987.4,4.0,85.0,0,Lahore
2022-08-20 22:00:00,4,201.94,0.0,0.91,32.19,1.07,22.93,93.63,0.03,28.4,79.0,24.4,0.0,1000.9,5.38,235.0,0,Karachi
2023-09-09 12:00:00,5,761.03,0.94,21.93,178.81,15.97,80.38,119.62,12.67,32.9,50.0,21.1,0.0,947.1,6.3,211.0,684,Islamabad
2022-09-15 01:00:00,5,1428.6,0.04,24.33,21.99,6.62,96.56,115.37,16.09,27.1,76.0,22.6,0.0,978.6,6.9,141.0,0,Lahore
2023-11-06 13:00:00,5,4112.24,32.19,142.57,0.02,29.33,170.99,233.43,31.92,27.9,45.0,14.8,0.0,990.1,4.9,216.0,520,Lahore
2022-03-20 19:00:00,5,2777.1,38.89,36.33,0.0,10.85,157.89,223.89,53.2,22.8,69.0,16.8,0.0,978.8,15.0,66.0,1,Lahore
2022-10-09 12:00:00,3,180.24,0.18,1.32,101.57,0.44,13.23,45.85,0.61,22.4145,5.2019744,-18.6855,0.0,840.82837,10.685391,302.61923,314,Quetta
2021-10-11 03:00:00,5,1508.71,5.7,33.93,24.68,10.49,117.67,160.31,25.84,22.5,78.0,18.5,0.0,979.0,12.8,52.0,0,Lahore
2023-02-02 12:00:00,5,2082.82,0.67,51.41,144.48,10.61,147.6,169.15,30.15,17.0,48.0,5.9,0.0,958.3,11.2,291.0,463,Islamabad
2022-02-10 15:00:00,5,4005.43,23.47,119.27,0.09,20.5,237.99,302.49,42.56,19.9,43.0,7.1,0.0,991.3,10.8,307.0,496,Lahore
2022-03-14 18:00:00,5,3257.75,1.37,57.58,8.4,15.74,390.12,461.19,17.73,26.0,73.0,20.8,0.0,983.1,8.6,68.0,68,Lahore
2022-05-24 08:00:00,4,195.26,0.35,1.21,113.01,0.81,17.01,68.71,0.78,28.8145,5.372561,-13.7355,0.0,837.6097,9.085988,326.3099,1066,Quetta
2024-06-05 05:00:00,3,1762.39,12.07,66.49,82.25,11.56,25.27,35.78,13.81,27.8,38.0,12.2,0.0,944.0,6.3,301.0,0,Islamabad
2022-04-10 19:00:00,5,3524.78,29.5,93.22,0.0,11.44,155.32,245.08,80.05,29.5,18.0,2.7,0.0,965.3,3.5,24.0,0,Peshawar
2023-11-28 01:00:00,4,560.76,0.0,11.48,73.67,4.17,50.39,72.93,11.91,5.3145,75.40162,1.3145001,0.0,835.84674,7.42159,157.1663,0,Quetta
2022-02-16 04:00:00,5,907.9,5.53,24.68,51.5,7.33,58.33,119.91,11.78,6.5645,46.53934,-4.0855,0.0,835.7519,1.2979984,123.690094,221,Quetta
2024-06-01 10:00:00,4,277.04,0.29,2.66,167.37,0.79,4.07,8.66,1.23,42.4,7.0,-0.6,0.0,962.4,7.0,21.0,831,Peshawar
2022-08-12 11:00:00,1,303.75,0.06,1.17,62.94,0.44,1.54,1.83,0.53,28.4645,45.37453,15.5145,0.0,833.6046,15.281989,133.09087,493,Quetta
